Event Time,Effect Time,Ignition Event Time,NAME,Position,Part Number,Description,Module,Socket,Cue
37:21.8,37:24.8,2241.756,Mortar Gold Coconut,50 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,6,7
37:24.8,37:27.8,2244.793,Mortar Gold Coconut,50 Rack C,Mortar Gold Coconut,Gold Coconut Shell,4,1,14
37:27.8,37:30.9,2247.83,Mortar Gold Coconut,50 Rack C,Mortar Gold Coconut,Gold Coconut Shell,4,1,15
37:30.9,37:33.9,2250.867,Mortar Gold Coconut,50 Rack C,Mortar Gold Coconut,Gold Coconut Shell,4,2,0
38:07.7,38:07.7,2287.698,MS500,Board 4,MS500,,1,0,2
38:07.7,38:07.7,2287.698,MS500,Board 6,MS500,,1,2,2
38:13.5,38:16.6,2293.53,MS498 12s Finale Box Quick Crackle,Board 2,MS498 12s Finale Box Quick Crackle,12 Shot Crackling Gold Peony Cake,0,2,5
38:17.4,38:20.4,2297.363,Mortar Gold Coconut,50 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,7,7
38:20.5,38:23.5,2300.488,Mortar Gold Coconut,50 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,7,8
38:23.6,38:26.6,2303.613,Mortar Gold Coconut,50 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,7,9
38:26.7,38:29.8,2306.738,Mortar Gold Coconut,50 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,7,10
38:29.9,38:32.9,2309.863,Mortar Gold Coconut,50 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,7,11
38:33.0,38:36.0,2312.988,Mortar Gold Coconut,50 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,7,12
38:36.1,38:39.1,2316.113,Mortar Gold Coconut,50 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,7,13
38:39.2,38:42.3,2319.238,Mortar Gold Coconut,50 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,7,14
38:42.4,38:45.4,2322.363,Mortar Gold Coconut,50 Rack A,Mortar Gold Coconut,Gold Coconut Shell,3,7,15
38:45.2,38:48.2,2325.218,GM488 Super Red Flash,Board 0,GM488 Super Red Flash,10 Shot Red Strobing Peony Cake,0,0,6
39:07.4,39:10.4,2347.407,Mortar Gold Coconut,50 Rack B,Mortar Gold Coconut,Gold Coconut Shell,3,4,12
39:16.6,39:19.7,2356.638,690 12s Double Timerain Crackle,Board 8,690 12s Double Timerain Crackle,10 Shot Popcorn Crackle Chrys Cake,2,0,1
39:17.4,39:20.4,2357.407,Mortar Gold Coconut,50 Rack B,Mortar Gold Coconut,Gold Coconut Shell,3,4,13
39:27.4,39:30.4,2367.407,Mortar Gold Coconut,50 Rack B,Mortar Gold Coconut,Gold Coconut Shell,3,4,14
39:37.4,39:40.4,2377.407,Mortar Gold Coconut,50 Rack B,Mortar Gold Coconut,Gold Coconut Shell,3,4,10
39:47.4,39:50.4,2387.407,Mortar Gold Coconut,50 Rack B,Mortar Gold Coconut,Gold Coconut Shell,3,4,11
39:58.2,40:01.0,2398.239,GM484,Board 1,GM484,12 Shot Red & White & Blue Peony Cake,0,1,1
40:05.1,40:05.1,2405.062,479 12 Shot Brocade Crown,Board 11,479 12 Shot Brocade Crown,,2,3,7
40:44.3,40:47.1,2444.265,TM115,Board 3,TM115,49 Shot Gold Mine To Gold Brocade Crown Cake,0,3,2
41:02.4,41:05.5,2462.444,Mortar Gold Coconut,50 Rack B,Mortar Gold Coconut,Gold Coconut Shell,3,2,14
41:04.6,41:07.7,2464.644,Mortar Gold Coconut,50 Rack B,Mortar Gold Coconut,Gold Coconut Shell,3,3,2
41:06.8,41:09.9,2466.844,Mortar Gold Coconut,50 Rack B,Mortar Gold Coconut,Gold Coconut Shell,3,3,3
41:09.0,41:12.1,2469.044,Mortar Gold Coconut,50 Rack B,Mortar Gold Coconut,Gold Coconut Shell,3,2,15
41:11.2,41:14.3,2471.244,Mortar Gold Coconut,50 Rack B,Mortar Gold Coconut,Gold Coconut Shell,3,3,0
41:13.4,41:16.5,2473.444,Mortar Gold Coconut,50 Rack B,Mortar Gold Coconut,Gold Coconut Shell,3,3,1
41:15.9,41:18.7,2475.864,TM118,Board 4,TM118,49 Shot Crackling Strobing Peony Cake,1,0,3
41:43.6,41:46.7,2503.638,Mortar Gold Coconut,50 Rack B,Mortar Gold Coconut,Gold Coconut Shell,3,3,4
41:46.0,41:49.0,2505.986,Mortar Gold Coconut,50 Rack B,Mortar Gold Coconut,Gold Coconut Shell,3,3,5
41:49.1,41:52.2,2509.144,GM585A,Board 0,GM585A,30 Shot Gold Mine To Brocade Crown Cake Z Shape,0,0,5
42:12.2,42:15.0,2532.179,White 433BS,Board 0,White 433BS,36 Shot White Peony Cake Fan,0,0,2
42:19.3,42:22.1,2539.285,Red 433BS,Board 8,Red 433BS,36 Shot Red Peony Cake Fan,2,0,3
42:26.0,42:28.8,2546.036,Blue 433BS,Board 3,Blue 433BS,36 Shot Blue Peony Cake Fan,0,3,5
44:01.4,44:01.4,2641.412,629 130 shot Z Gold Glitter Comets,Board 8,629 130 shot Z Gold Glitter Comets,130 Shot Z Shape Gold Glittering Comet w/ Tail Cake,2,0,9
44:31.5,44:31.5,2671.54,165 11s SuperSweep Golden Rain Comet w/ Blue Mine,Board 6,165 11s SuperSweep Golden Rain Comet w/ Blue Mine,13 Shot Gold Comet w/ Blue Mine Cake Fan,1,2,10
44:39.3,44:42.3,2679.267,690 12s Double Timerain Crackle,Board 10,690 12s Double Timerain Crackle,10 Shot Popcorn Crackle Chrys Cake,2,2,6
45:11.0,45:11.0,2710.994,222 13s FanSweep Twilight Glitter Comet w/ Multi Mine(01),Board 5,222 13s FanSweep Twilight Glitter Comet w/ Multi Mine(01),13 Shot Gold Comet w/ Varg Mine Cake Fan,1,1,11
45:21.5,45:21.5,2721.456,479 12 Shot Brocade Crown,Board 1,479 12 Shot Brocade Crown,,0,1,7
46:00.8,46:03.6,2760.823,TM490,Board 3,TM490,49 Shot Strobing Red & White & Blue Waterfall Cake Fan,0,3,1
46:25.4,46:28.5,2785.448,690 12s Double Timerain Crackle,Board 1,690 12s Double Timerain Crackle,10 Shot Popcorn Crackle Chrys Cake,0,1,2
47:08.7,47:08.7,2828.737,Rowdy Ride,Board 4,Rowdy Ride,10 Shot Multicolor Cake Z Shape,1,0,5
47:48.2,47:51.2,2868.175,Mortar Gold Coconut,50 Rack B,Mortar Gold Coconut,Gold Coconut Shell,3,3,6
47:49.8,47:52.9,2869.831,Mortar Gold Coconut,50 Rack B,Mortar Gold Coconut,Gold Coconut Shell,3,4,3
47:51.7,47:54.8,2871.748,Mortar Gold Coconut,50 Rack B,Mortar Gold Coconut,Gold Coconut Shell,3,3,7
47:53.3,47:56.3,2873.262,Mortar Gold Coconut,50 Rack B,Mortar Gold Coconut,Gold Coconut Shell,3,3,8
47:57.9,47:57.9,2877.921,222 13s FanSweep Twilight Glitter Comet w/ Multi Mine(01),Board 6,222 13s FanSweep Twilight Glitter Comet w/ Multi Mine(01),13 Shot Gold Comet w/ Varg Mine Cake Fan,1,2,13
48:00.1,48:03.1,2880.11,Mortar Gold Coconut,50 Rack B,Mortar Gold Coconut,Gold Coconut Shell,3,3,9
48:04.3,48:07.3,2884.317,Mortar Gold Coconut,50 Rack B,Mortar Gold Coconut,Gold Coconut Shell,3,3,10
48:05.6,48:08.7,2885.63,Mortar Gold Coconut,50 Rack B,Mortar Gold Coconut,Gold Coconut Shell,3,4,1
48:07.7,48:10.8,2887.741,Mortar Gold Coconut,50 Rack B,Mortar Gold Coconut,Gold Coconut Shell,3,3,11
48:09.5,48:12.5,2889.524,Mortar Gold Coconut,50 Rack B,Mortar Gold Coconut,Gold Coconut Shell,3,4,2
48:12.2,48:15.0,2892.228,GM484,Board 0,GM484,12 Shot Red & White & Blue Peony Cake,0,0,8
48:13.5,48:16.5,2893.497,gm488 10s super red strobe,Board 10,gm488 10s super red strobe,10 Shot Strobing Red Peony Cake,2,2,5
48:47.7,48:50.7,2927.656,Mortar Gold Coconut,50 Rack B,Mortar Gold Coconut,Gold Coconut Shell,3,3,12
48:50.4,48:53.4,2930.395,Mortar Gold Coconut,50 Rack B,Mortar Gold Coconut,Gold Coconut Shell,3,3,13
48:52.5,48:55.6,2932.547,Mortar Gold Coconut,50 Rack B,Mortar Gold Coconut,Gold Coconut Shell,3,3,14
48:55.6,48:58.6,2935.58,Mortar Gold Coconut,50 Rack B,Mortar Gold Coconut,Gold Coconut Shell,3,3,15
49:00.8,49:00.8,2940.825,222 13s FanSweep Twilight Glitter Comet w/ Multi Mine(01),Board 0,222 13s FanSweep Twilight Glitter Comet w/ Multi Mine(01),13 Shot Gold Comet w/ Varg Mine Cake Fan,0,0,9
49:03.0,49:06.0,2942.993,GM436 27shot RWB Peony,Board 0,GM436 27shot RWB Peony,27 Shot Red White Blue Peony Cake W Shape,0,0,1
49:12.2,49:12.2,2952.228,Twilight Glitter Comet w/ Blue Tip,Comets B,Twilight Glitter Comet w/ Blue Tip,Silver Comet w/ Blue,0,7,5
49:12.2,49:12.2,2952.228,Twilight Glitter Comet w/ Blue Tip,Comets B,Twilight Glitter Comet w/ Blue Tip,Silver Comet w/ Blue,0,7,6
49:12.2,49:12.2,2952.228,Twilight Glitter Comet w/ Blue Tip,Comets B,Twilight Glitter Comet w/ Blue Tip,Silver Comet w/ Blue,0,7,7
49:12.2,49:12.2,2952.228,Twilight Glitter Comet w/ Blue Tip,Comets B,Twilight Glitter Comet w/ Blue Tip,Silver Comet w/ Blue,0,7,8
49:12.2,49:12.2,2952.228,Twilight Glitter Comet w/ Blue Tip,Comets B,Twilight Glitter Comet w/ Blue Tip,Silver Comet w/ Blue,0,7,9
49:12.2,49:12.2,2952.228,Twilight Glitter Comet w/ Blue Tip,Comets B,Twilight Glitter Comet w/ Blue Tip,Silver Comet w/ Blue,0,7,10
49:12.2,49:12.2,2952.228,Twilight Glitter Comet w/ Blue Tip,Comets B,Twilight Glitter Comet w/ Blue Tip,Silver Comet w/ Blue,0,7,11
49:17.0,49:17.0,2956.998,Twilight Glitter Comet w/ Blue Tip,Comets A,Twilight Glitter Comet w/ Blue Tip,Silver Comet w/ Blue,0,4,14
49:17.0,49:17.0,2956.998,Twilight Glitter Comet w/ Blue Tip,Comets A,Twilight Glitter Comet w/ Blue Tip,Silver Comet w/ Blue,0,4,15
49:17.0,49:17.0,2956.998,Twilight Glitter Comet w/ Blue Tip,Comets A,Twilight Glitter Comet w/ Blue Tip,Silver Comet w/ Blue,0,5,0
49:17.0,49:17.0,2956.998,Twilight Glitter Comet w/ Blue Tip,Comets A,Twilight Glitter Comet w/ Blue Tip,Silver Comet w/ Blue,0,5,1
49:17.0,49:17.0,2956.998,Twilight Glitter Comet w/ Blue Tip,Comets A,Twilight Glitter Comet w/ Blue Tip,Silver Comet w/ Blue,0,5,2
49:17.0,49:17.0,2956.998,Twilight Glitter Comet w/ Blue Tip,Comets A,Twilight Glitter Comet w/ Blue Tip,Silver Comet w/ Blue,0,5,3
49:17.0,49:17.0,2956.998,Twilight Glitter Comet w/ Blue Tip,Comets A,Twilight Glitter Comet w/ Blue Tip,Silver Comet w/ Blue,0,5,4
49:17.0,49:17.0,2956.998,Twilight Glitter Comet w/ Blue Tip,Comets C,Twilight Glitter Comet w/ Blue Tip,Silver Comet w/ Blue,2,6,14
49:17.0,49:17.0,2956.998,Twilight Glitter Comet w/ Blue Tip,Comets C,Twilight Glitter Comet w/ Blue Tip,Silver Comet w/ Blue,2,6,15
49:17.0,49:17.0,2956.998,Twilight Glitter Comet w/ Blue Tip,Comets C,Twilight Glitter Comet w/ Blue Tip,Silver Comet w/ Blue,2,7,0
49:17.0,49:17.0,2956.998,Twilight Glitter Comet w/ Blue Tip,Comets C,Twilight Glitter Comet w/ Blue Tip,Silver Comet w/ Blue,2,7,1
49:17.0,49:17.0,2956.998,Twilight Glitter Comet w/ Blue Tip,Comets C,Twilight Glitter Comet w/ Blue Tip,Silver Comet w/ Blue,2,7,2
49:17.0,49:17.0,2956.998,Twilight Glitter Comet w/ Blue Tip,Comets C,Twilight Glitter Comet w/ Blue Tip,Silver Comet w/ Blue,2,7,3
49:17.0,49:17.0,2956.998,Twilight Glitter Comet w/ Blue Tip,Comets C,Twilight Glitter Comet w/ Blue Tip,Silver Comet w/ Blue,2,7,4
49:21.1,49:24.1,2961.085,Mortar Gold Coconut,Finale Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,5,0
49:21.2,49:24.2,2961.207,Mortar Gold Coconut,Finale Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,5,1
49:21.3,49:24.3,2961.33,Mortar Gold Coconut,Finale Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,5,2
49:21.5,49:24.5,2961.452,Mortar Gold Coconut,Finale Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,5,3
49:21.6,49:24.6,2961.575,Mortar Gold Coconut,Finale Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,5,4
49:21.7,49:24.7,2961.697,Mortar Gold Coconut,Finale Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,7,15
49:21.8,49:24.8,2961.82,Mortar Gold Coconut,Finale Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,5,5
49:21.9,49:25.0,2961.942,Mortar Gold Coconut,Finale Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,5,6
49:22.1,49:25.1,2962.065,Mortar Gold Coconut,Finale Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,5,7
49:22.2,49:25.2,2962.187,Mortar Gold Coconut,Finale Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,5,8
49:22.3,49:22.3,2962.305,Twilight Glitter Comet w/ Blue Tip,Comets A,Twilight Glitter Comet w/ Blue Tip,Silver Comet w/ Blue,0,5,5
49:22.3,49:22.3,2962.305,Twilight Glitter Comet w/ Blue Tip,Comets A,Twilight Glitter Comet w/ Blue Tip,Silver Comet w/ Blue,0,5,6
49:22.3,49:22.3,2962.305,Twilight Glitter Comet w/ Blue Tip,Comets A,Twilight Glitter Comet w/ Blue Tip,Silver Comet w/ Blue,0,5,7
49:22.3,49:22.3,2962.305,Twilight Glitter Comet w/ Blue Tip,Comets A,Twilight Glitter Comet w/ Blue Tip,Silver Comet w/ Blue,0,5,8
49:22.3,49:22.3,2962.305,Twilight Glitter Comet w/ Blue Tip,Comets A,Twilight Glitter Comet w/ Blue Tip,Silver Comet w/ Blue,0,5,9
49:22.3,49:22.3,2962.305,Twilight Glitter Comet w/ Blue Tip,Comets A,Twilight Glitter Comet w/ Blue Tip,Silver Comet w/ Blue,0,5,10
49:22.3,49:22.3,2962.305,Twilight Glitter Comet w/ Blue Tip,Comets A,Twilight Glitter Comet w/ Blue Tip,Silver Comet w/ Blue,0,5,11
49:22.3,49:22.3,2962.305,Twilight Glitter Comet w/ Blue Tip,Comets C,Twilight Glitter Comet w/ Blue Tip,Silver Comet w/ Blue,2,7,5
49:22.3,49:22.3,2962.305,Twilight Glitter Comet w/ Blue Tip,Comets C,Twilight Glitter Comet w/ Blue Tip,Silver Comet w/ Blue,2,7,6
49:22.3,49:22.3,2962.305,Twilight Glitter Comet w/ Blue Tip,Comets C,Twilight Glitter Comet w/ Blue Tip,Silver Comet w/ Blue,2,7,7
49:22.3,49:22.3,2962.305,Twilight Glitter Comet w/ Blue Tip,Comets C,Twilight Glitter Comet w/ Blue Tip,Silver Comet w/ Blue,2,7,8
49:22.3,49:22.3,2962.305,Twilight Glitter Comet w/ Blue Tip,Comets C,Twilight Glitter Comet w/ Blue Tip,Silver Comet w/ Blue,2,7,9
49:22.3,49:22.3,2962.305,Twilight Glitter Comet w/ Blue Tip,Comets C,Twilight Glitter Comet w/ Blue Tip,Silver Comet w/ Blue,2,7,10
49:22.3,49:22.3,2962.305,Twilight Glitter Comet w/ Blue Tip,Comets C,Twilight Glitter Comet w/ Blue Tip,Silver Comet w/ Blue,2,7,11
49:22.3,49:25.3,2962.309,Mortar Gold Coconut,Finale Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,5,9
49:22.4,49:25.5,2962.432,Mortar Gold Coconut,Finale Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,7,10
49:22.6,49:25.6,2962.554,Mortar Gold Coconut,Finale Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,5,10
49:22.7,49:25.7,2962.677,Mortar Gold Coconut,Finale Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,5,11
49:22.8,49:25.8,2962.799,Mortar Gold Coconut,Finale Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,5,12
49:22.9,49:25.9,2962.922,Mortar Gold Coconut,Finale Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,5,13
49:23.0,49:26.1,2963.044,Mortar Gold Coconut,Finale Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,5,14
49:23.2,49:26.2,2963.167,Mortar Gold Coconut,Finale Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,5,15
49:23.3,49:26.3,2963.289,Mortar Gold Coconut,Finale Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,6,0
49:23.4,49:26.4,2963.412,Mortar Gold Coconut,Finale Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,6,1
49:23.5,49:26.6,2963.534,Mortar Gold Coconut,Finale Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,6,2
49:23.7,49:26.7,2963.656,Mortar Gold Coconut,Finale Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,6,3
49:23.8,49:26.8,2963.779,Mortar Gold Coconut,Finale Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,6,4
49:23.9,49:26.9,2963.901,Mortar Gold Coconut,Finale Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,7,14
49:24.0,49:27.0,2964.024,Mortar Gold Coconut,Finale Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,6,5
49:24.1,49:27.2,2964.146,Mortar Gold Coconut,Finale Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,6,6
49:24.3,49:27.3,2964.269,Mortar Gold Coconut,Finale Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,6,7
49:24.4,49:27.4,2964.391,Mortar Gold Coconut,Finale Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,6,8
49:24.5,49:27.5,2964.514,Mortar Gold Coconut,Finale Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,6,9
49:24.6,49:27.7,2964.636,Mortar Gold Coconut,Finale Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,6,10
49:24.8,49:27.8,2964.758,Mortar Gold Coconut,Finale Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,7,8
49:24.9,49:27.9,2964.881,Mortar Gold Coconut,Finale Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,6,11
49:25.0,49:28.0,2965.003,Mortar Gold Coconut,Finale Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,7,9
49:25.1,49:28.1,2965.126,Mortar Gold Coconut,Finale Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,7,13
49:25.2,49:28.3,2965.248,Mortar Gold Coconut,50 Rack B,Mortar Gold Coconut,Gold Coconut Shell,3,4,0
49:25.4,49:28.4,2965.371,Mortar Gold Coconut,Finale Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,6,12
49:25.5,49:28.5,2965.493,Mortar Gold Coconut,Finale Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,6,13
49:25.6,49:28.6,2965.616,Mortar Gold Coconut,Finale Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,7,11
49:25.7,49:28.8,2965.738,Mortar Gold Coconut,Finale Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,6,14
49:25.9,49:28.9,2965.861,Mortar Gold Coconut,Finale Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,6,15
49:26.0,49:29.0,2965.983,Mortar Gold Coconut,Finale Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,7,0
49:26.1,49:29.1,2966.105,Mortar Gold Coconut,Finale Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,7,12
49:26.2,49:29.2,2966.228,Mortar Gold Coconut,Finale Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,7,1
49:26.3,49:29.4,2966.35,Mortar Gold Coconut,Finale Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,7,2
49:26.6,49:29.6,2966.595,Mortar Gold Coconut,Finale Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,7,3
49:26.7,49:29.7,2966.718,Mortar Gold Coconut,Finale Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,7,4
49:26.8,49:29.9,2966.84,Mortar Gold Coconut,Finale Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,7,5
49:27.0,49:30.0,2966.963,Mortar Gold Coconut,Finale Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,7,6
49:27.1,49:30.1,2967.085,Mortar Gold Coconut,Finale Rack B,Mortar Gold Coconut,Gold Coconut Shell,4,7,7
49:29.5,49:32.5,2969.467,10013 48 FINALE RACK CUE,Finale Rack A,10013 48 FINALE RACK CUE,Red Palm,1,0,10
